learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
4.8E7,80.400497,1.5857665414818462E-7,4.8E7,73.66390625,44.512508368052245,4.8E7,7624.0
4.9E7,82.116969,1.6196211066717906E-7,4.9E7,73.66416734693878,44.513529015289876,4.9E7,7624.0
5.0E7,83.789999,1.6526188504157798E-7,5.0E7,73.663758,44.513565360582895,5.0E7,7624.0
5.1E7,85.447123,1.6853028746735723E-7,5.1E7,73.66408039215686,44.51380269284492,5.1E7,7624.0
5.2E7,87.121127,1.7183198289531805E-7,5.2E7,73.66416923076923,44.514198591682224,5.2E7,7624.0
5.3E7,88.797437,1.7513822652606505E-7,5.3E7,73.66306981132075,44.51275377384869,5.3E7,7624.0
5.4E7,90.443165,1.783841522307032E-7,5.4E7,73.66371296296296,44.51479071245082,5.4E7,7624.0
5.5E7,92.09655,1.8164518009871248E-7,5.5E7,73.66370363636364,44.51419875306012,5.5E7,7624.0
5.6E7,93.773859,1.8495339409137768E-7,5.6E7,73.66204464285714,44.51126505776763,5.6E7,7624.0
5.7E7,95.440153,1.88239882822252E-7,5.7E7,73.66202631578948,44.511062763447185,5.7E7,7624.0
5.8E7,97.083747,1.9148159956559542E-7,5.8E7,73.66329482758621,44.513996576630646,5.8E7,7624.0
5.9E7,98.738072,1.9474448142780202E-7,5.9E7,73.66362881355933,44.51515235184052,5.9E7,7624.0
6.0E7,100.393108,1.9800876561966212E-7,6.0E7,73.66309833333334,44.51366708824408,6.0E7,7624.0
6.1E7,102.06139,2.0129917535103034E-7,6.1E7,73.66502295081968,44.51781507211439,6.1E7,7624.0
6.2E7,103.777969,2.046848429097898E-7,6.2E7,73.6650064516129,44.51797798346696,6.2E7,7624.0
6.3E7,105.601671,2.082817928306759E-7,6.3E7,73.66559365079365,44.519498399060154,6.3E7,7624.0
6.4E7,107.468157,2.119631271002194E-7,6.4E7,73.6662375,44.52108467341027,6.4E7,7624.0
6.5E7,109.179959,2.153393728182548E-7,6.5E7,73.66559538461539,44.519558029822484,6.5E7,7624.0
6.6E7,110.847671,2.1862865831909912E-7,6.6E7,73.66647121212121,44.52092292765893,6.6E7,7624.0
