1928-29;1;4;03/03/1929;Real Madrid C.F.;Real Sociedad;2;1;Chamartín;VILALTA BARS;L-LAZCANO;9;L-MORERA L.;37;V-P. BIENZOBAS;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1928-29;1;5;10/03/1929;Arenas de Guecho;Athletic Club;1;0;Ibaiondo;INSAUSTI;L-YERMO;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1928-29;1;5;10/03/1929;At. de Madrid;F.C. Barcelona;4;1;Stadium Metropolitano;MURGUIA;L-COSME;5;L-COSME;30;L-ILLERA;50;L-ILLERA;60;V-PARERA;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1928-29;1;5;10/03/1929;C.D. Europa;Real Unión Club;3;3;El Ginardó;PEDRO ESCARTIN MORAN;L-CORTES ?;20;L-RAMONZUELO;42;L-MAURICIO S.;69;V-GARMENDIA;12;V-URTIZBEREA;37;V-URTIZBEREA;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1928-29;1;5;10/03/1929;Real Racing Club;Real Madrid C.F.;1;3;Campos de Sport del Sardinero;SARACHO;L-LARRINAGA;37;V-RUBIO M.;57;V-LAZCANO;68;V-CAÑAVERA;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1928-29;1;5;10/03/1929;Real Sociedad;R.C.D. Espanyol;1;1;Atocha;NAVAZ;L-CHOLIN;57;V-PADRON M.;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1928-29;1;6;24/03/1929;Arenas de Guecho;Real Sociedad;3;0;Ibaiondo;LEDESMA;L-GURRUCHAGA;23;L-YERMO;67;L-YERMO;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1928-29;1;6;24/03/1929;At. de Madrid;Real Racing Club;4;0;Stadium Metropolitano;SERRANO DE LA MATA;L-MARIN;4;L-L. OLASO;15;L-LECUBE;68;L-COSME;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1928-29;1;6;24/03/1929;F.C. Barcelona;C.D. Europa;5;2;Les Corts;MURGUIA;L-CAMPADABAL, R;18;L-SASTRE P.;31;L-PARERA;40;L-SASTRE P.;51;L-SASTRE P.;62;V-CROS;71;V-CROS;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1928-29;1;6;24/03/1929;R.C.D. Espanyol;Real Madrid C.F.;4;0;Sarriá;STEIMBORN LUDEUVIK;L-TENA I;18;L-BROTO;40;L-ORAMAS N.;46;L-ORAMAS N.;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1928-29;1;6;24/03/1929;Real Unión Club;Athletic Club;6;3;Estadio Gal;MONTERO RAMON;L-ALZA;2;L-ALZA;10;L-ECHEVESTE G.;27;L-L. REGUEIRO;39;L-GARMENDIA;49;L-L. REGUEIRO;57;V-CHIRRI II;15;V-VICT. UNAMUNO;48;V-CHIRRI II;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1928-29;1;7;31/03/1929;Athletic Club;F.C. Barcelona;5;1;San Mamés;MELCON BARTOLOME;L-VICT. UNAMUNO;43;L-VICT. UNAMUNO;56;L-GRACIANO;64;L-LAFUENTE;78;L-LAFUENTE;87;V-PARERA;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1928-29;1;7;31/03/1929;R.C.D. Espanyol;Arenas de Guecho;1;2;Sarriá;ADRADOS;L-ORAMAS N.;57;V-YERMO;20;V-GURRUCHAGA;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1928-29;1;7;31/03/1929;C.D. Europa;At. de Madrid;4;1;El Ginardó;INSAUSTI;L-PELLICER P.;22;L-PELLICER P.;48;L-COLLS;71;L-ALCAZAR A.;82;V-COSME;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1928-29;1;7;31/03/1929;Real Sociedad;Real Racing Club;8;1;Atocha;PEDRO ESCARTIN MORAN;L-TRINO;12;L-YURRITA;21;L-P. BIENZOBAS;29;L-CHOLIN;34;L-SANTIUSTE;40;L-KIRIKI;42;L-P. BIENZOBAS;67;L-KIRIKI;73;V-LARRINAGA;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1928-29;1;7;31/03/1929;Real Madrid C.F.;Real Unión Club;2;0;Chamartín;VILALTA BARS;L-RUBIO M.;32;L-RUBIO M.;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
